id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
01-Diagnostic_1F,1,F01_LL.JP.1,2004.375,yes,LEN,1,170.303951378419
01-Diagnostic_1F,1,F01_LL.JP.1,2016.125,yes,LEN,1,164.848085439234
01-Diagnostic_1F,1,F01_LL.JP.1,2016.5,yes,LEN,1,166.040127592217
01-Diagnostic_1F,1,F01_LL.JP.1,2018.375,yes,LEN,1,168.235336205866
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,191.342399658606
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,190.913148922347
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,190.434707595583
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,190.051514759738
01-Diagnostic_1F,2,F02_LL.JP.2,1995.5,yes,LEN,1,189.242278846512
01-Diagnostic_1F,2,F02_LL.JP.2,1996.125,yes,LEN,1,189.444274247446
01-Diagnostic_1F,2,F02_LL.JP.2,1996.375,yes,LEN,1,190.06316931319
01-Diagnostic_1F,2,F02_LL.JP.2,1997.375,yes,LEN,1,189.511156437566
01-Diagnostic_1F,3,F03_LL.JP.3,1991.125,yes,LEN,1,189.206825292771
01-Diagnostic_1F,3,F03_LL.JP.3,1991.25,yes,LEN,1,189.994669600149
01-Diagnostic_1F,3,F03_LL.JP.3,1991.375,yes,LEN,1,189.726770969508
01-Diagnostic_1F,3,F03_LL.JP.3,1993.25,yes,LEN,1,188.7184192435
01-Diagnostic_1F,3,F03_LL.JP.3,1993.375,yes,LEN,1,188.427028650788
01-Diagnostic_1F,3,F03_LL.JP.3,1994.125,yes,LEN,1,187.480710160417
01-Diagnostic_1F,3,F03_LL.JP.3,1994.25,yes,LEN,1,187.668070683511
01-Diagnostic_1F,3,F03_LL.JP.3,1996.375,yes,LEN,1,188.863110960907
01-Diagnostic_1F,3,F03_LL.JP.3,2014.125,yes,LEN,1,188.964035756843
01-Diagnostic_1F,5,F05_LL.TW.4,2018.375,yes,LEN,1,176.165261356456
01-Diagnostic_1F,5,F05_LL.TW.4,2019.375,yes,LEN,1,176.310823037835
01-Diagnostic_1F,5,F05_LL.TW.4,2020.375,yes,LEN,1,170.929792307021
01-Diagnostic_1F,10,F10_REC.NZ.3,1985.125,yes,LEN,1,202.1054765
01-Diagnostic_1F,10,F10_REC.NZ.3,1986.125,yes,LEN,1,202.432547973019
01-Diagnostic_1F,10,F10_REC.NZ.3,1987.125,yes,LEN,1,203.661932233779
01-Diagnostic_1F,10,F10_REC.NZ.3,1988.125,yes,LEN,1,203.329660846144
01-Diagnostic_1F,10,F10_REC.NZ.3,1989.125,yes,LEN,1,196.155303870266
01-Diagnostic_1F,10,F10_REC.NZ.3,1991.125,yes,LEN,1,200.254192188126
01-Diagnostic_1F,10,F10_REC.NZ.3,1992.125,yes,LEN,1,201.290817186938
01-Diagnostic_1F,10,F10_REC.NZ.3,1993.125,yes,LEN,1,201.117651494114
01-Diagnostic_1F,10,F10_REC.NZ.3,1994.125,yes,LEN,1,200.552516361597
01-Diagnostic_1F,10,F10_REC.NZ.3,2004.125,yes,LEN,1,201.437583356242
01-Diagnostic_1F,10,F10_REC.NZ.3,2006.125,yes,LEN,1,203.337109819914
01-Diagnostic_1F,10,F10_REC.NZ.3,2007.125,yes,LEN,1,202.842821431436
01-Diagnostic_1F,10,F10_REC.NZ.3,2008.125,yes,LEN,1,201.857355114413
01-Diagnostic_1F,10,F10_REC.NZ.3,2012.125,yes,LEN,1,203.456975580861
01-Diagnostic_1F,10,F10_REC.NZ.3,2013.125,yes,LEN,1,202.725020819983
01-Diagnostic_1F,10,F10_REC.NZ.3,2014.125,yes,LEN,1,201.024125177696
01-Diagnostic_1F,10,F10_REC.NZ.3,2015.125,yes,LEN,1,200.177226677227
01-Diagnostic_1F,10,F10_REC.NZ.3,2016.125,yes,LEN,1,198.914457682599
01-Diagnostic_1F,10,F10_REC.NZ.3,2017.125,yes,LEN,1,199.921750445225
01-Diagnostic_1F,10,F10_REC.NZ.3,2018.125,yes,LEN,1,200.624448190247
01-Diagnostic_1F,16,F16_LL.NC.2,1996.5,yes,LEN,1,184.996734502286
01-Diagnostic_1F,16,F16_LL.NC.2,1998.5,yes,LEN,1,183.061563733111
01-Diagnostic_1F,16,F16_LL.NC.2,1999.5,yes,LEN,1,182.941142411772
01-Diagnostic_1F,16,F16_LL.NC.2,2002.375,yes,LEN,1,186.771712966104
01-Diagnostic_1F,16,F16_LL.NC.2,2002.5,yes,LEN,1,185.786753336034
01-Diagnostic_1F,16,F16_LL.NC.2,2003.125,yes,LEN,1,185.084267856994
01-Diagnostic_1F,16,F16_LL.NC.2,2003.25,yes,LEN,1,184.913378229345
01-Diagnostic_1F,16,F16_LL.NC.2,2003.375,yes,LEN,1,185.71362352178
01-Diagnostic_1F,16,F16_LL.NC.2,2004.125,yes,LEN,1,187.030527673889
01-Diagnostic_1F,16,F16_LL.NC.2,2004.5,yes,LEN,1,187.500194237245
01-Diagnostic_1F,16,F16_LL.NC.2,2005.5,yes,LEN,1,187.526348071897
01-Diagnostic_1F,16,F16_LL.NC.2,2006.5,yes,LEN,1,186.459245375547
01-Diagnostic_1F,16,F16_LL.NC.2,2007.375,yes,LEN,1,184.284922255527
01-Diagnostic_1F,16,F16_LL.NC.2,2007.5,yes,LEN,1,182.5533755
01-Diagnostic_1F,16,F16_LL.NC.2,2008.375,yes,LEN,1,185.28129034087
01-Diagnostic_1F,16,F16_LL.NC.2,2008.5,yes,LEN,1,185.99405008529
01-Diagnostic_1F,16,F16_LL.NC.2,2009.25,yes,LEN,1,187.016419484014
01-Diagnostic_1F,16,F16_LL.NC.2,2009.375,yes,LEN,1,187.794027185562
01-Diagnostic_1F,16,F16_LL.NC.2,2009.5,yes,LEN,1,188.13386742008
01-Diagnostic_1F,16,F16_LL.NC.2,2010.125,yes,LEN,1,188.041502879422
01-Diagnostic_1F,16,F16_LL.NC.2,2010.375,yes,LEN,1,188.007118645577
01-Diagnostic_1F,16,F16_LL.NC.2,2010.5,yes,LEN,1,188.029308981647
01-Diagnostic_1F,16,F16_LL.NC.2,2011.125,yes,LEN,1,187.506274985398
01-Diagnostic_1F,16,F16_LL.NC.2,2011.25,yes,LEN,1,186.827185041058
01-Diagnostic_1F,16,F16_LL.NC.2,2011.375,yes,LEN,1,186.544383851132
01-Diagnostic_1F,16,F16_LL.NC.2,2011.5,yes,LEN,1,186.232816067548
01-Diagnostic_1F,16,F16_LL.NC.2,2016.5,yes,LEN,1,183.635834236067
01-Diagnostic_1F,16,F16_LL.NC.2,2017.5,yes,LEN,1,184.187892324843
01-Diagnostic_1F,16,F16_LL.NC.2,2018.5,yes,LEN,1,184.685833769798
01-Diagnostic_1F,16,F16_LL.NC.2,2019.375,yes,LEN,1,185.321136903256
01-Diagnostic_1F,16,F16_LL.NC.2,2019.5,yes,LEN,1,184.549967751344
01-Diagnostic_1F,16,F16_LL.NC.2,2021.375,yes,LEN,1,177.866826936017
01-Diagnostic_1F,16,F16_LL.NC.2,2021.5,yes,LEN,1,178.404270586401
01-Diagnostic_1F,16,F16_LL.NC.2,2022.375,yes,LEN,1,181.240129058848
01-Diagnostic_1F,16,F16_LL.NC.2,2022.5,yes,LEN,1,182.386021792988
01-Diagnostic_1F,17,F17_LL.PF.4,2007.375,yes,LEN,1,172.598092980381
01-Diagnostic_1F,17,F17_LL.PF.4,2007.5,yes,LEN,1,173.289766842047
01-Diagnostic_1F,17,F17_LL.PF.4,2008.25,yes,LEN,1,175.991992055606
01-Diagnostic_1F,17,F17_LL.PF.4,2010.375,yes,LEN,1,175.395221839844
01-Diagnostic_1F,17,F17_LL.PF.4,2011.375,yes,LEN,1,178.870372053518
01-Diagnostic_1F,17,F17_LL.PF.4,2012.375,yes,LEN,1,173.084640546771
01-Diagnostic_1F,17,F17_LL.PF.4,2013.375,yes,LEN,1,168.984210792786
01-Diagnostic_1F,17,F17_LL.PF.4,2014.375,yes,LEN,1,168.467917858075
01-Diagnostic_1F,17,F17_LL.PF.4,2017.375,yes,LEN,1,170.895531794028
01-Diagnostic_1F,17,F17_LL.PF.4,2021.5,yes,LEN,1,166.8030015409
