fleet,fleetname,type,area,units,selex,mirror,catch_start,catch_end,catch_kn,catch_mt,index_start,index_end,lencomp_start,lencomp_end,lencomp_nsamp,wcomp_start,wcomp_end,wcomp_nsamp
1,F01_LL.JP.1,1,1,2,24,0,1952,2022,0.539244135590278,30.5443837916667,,,2004,2018,39.62396,1971,1971,101.951
2,F02_LL.JP.2,1,1,2,24,0,1979,2022,0.574069433364584,49.2116783072916,,,1991,1997,390.53127,1970,1987,8851.7448
3,F03_LL.JP.3,1,1,2,24,0,1952,2022,0.553928561284723,46.69804196875,,,1991,2014,252.8043,1970,1996,3914.8929
4,F04_LL.JP.4,1,1,2,24,0,1954,2022,0.191620993506944,13.2887704479167,,,,,,,,
5,F05_LL.TW.4,1,1,2,5,4,1967,2022,0.161453369263889,10.5155694649306,,,2018,2020,73.9861,,,
6,F06_LL.AU.2,1,1,2,24,0,1987,2022,0.310738970590278,23.6735662986111,,,,,,1997,2022,14943.7622
7,F07_LL.AU.3,1,1,2,24,0,1987,2022,0.167198764479167,13.2034747916667,,,,,,2005,2022,2690.1753
8,F08_LL.NZ.3,1,1,2,5,7,1990,2022,0.0490929746319445,3.83628802881944,,,,,,,,
9,F09.REC.AU.3,1,1,2,24,0,1952,2022,0.00762482838541667,0.693947857291667,,,,,,1986,2010,1805
10,F10_REC.NZ.3,1,1,2,1,0,1952,2022,0.115276331944444,12.1067961111111,,,1985,2018,1157,-2018,1987,21069
11,F11_LL.ALL.1,1,1,2,5,1,1967,2022,1.26963724329861,70.5431350381944,,,-2022,-2011,1463.801,,,
12,F12_LL.ALL.2,1,1,2,5,2,1967,2022,0.4618250259375,39.7337560173611,,,-2022,-1998,7257.2828,,,
13,F13_LL.ALL.3,1,1,2,5,3,1968,2022,0.0359992750798611,3.03552198888889,,,,,,,,
14,F14_LL.ALL.4,1,1,2,5,4,1976,2022,0.445397796527778,28.8784277673611,,,,,,,,
15,F15_LL.JP.2_early,1,1,2,5,2,1952,1978,1.63534063854167,152.926708913194,,,,,,,,
16,F16_LL.NC.2,1,1,2,24,0,1983,2022,0.166007864236111,12.7288663541667,,,1996,2022,1899.75241,,,
17,F17_LL.PF.4,1,1,2,24,0,1992,2022,0.126530268715278,7.73311552777778,,,2007,2021,348.1538,,,
18,S01_INDEX.1-4,3,1,2,24,0,,,,,1979,2022,,,,,,
19,S02_INDEX.NZ,3,1,2,24,0,,,,,1975,2022,,,,,,
20,S03_INDEX.AU,3,1,2,5,6,,,,,1998,2022,,,,,,
