id,factor,fleet,value
01-Diagnostic_1F,4,1,0.4688
01-Diagnostic_1F,7,1,0.25
01-Diagnostic_1F,4,2,0.104
01-Diagnostic_1F,7,2,0.35
01-Diagnostic_1F,4,3,0.1314
01-Diagnostic_1F,7,3,0.3
01-Diagnostic_1F,4,5,0.3537
01-Diagnostic_1F,7,6,0.2
01-Diagnostic_1F,7,7,0.3
01-Diagnostic_1F,7,9,0.25
01-Diagnostic_1F,4,10,0.2561
01-Diagnostic_1F,7,10,0.35
01-Diagnostic_1F,4,11,0.0943
01-Diagnostic_1F,4,12,0.0197
01-Diagnostic_1F,4,16,0.054
01-Diagnostic_1F,4,17,0.0401
01-Diagnostic_1F,1,18,0.0922228
01-Diagnostic_1F,1,19,0.18222
01-Diagnostic_1F,1,20,0.301309
