year,index,obs,se_log
1979,18,1.86281,0.142425
1980,18,1.31391,0.141763
1981,18,1.2559,0.141848
1982,18,1.50646,0.135599
1983,18,0.922278,0.139526
1984,18,1.32673,0.132566
1985,18,0.877509,0.131168
1986,18,0.855618,0.144499
1987,18,0.835362,0.155059
1988,18,0.736157,0.166843
1989,18,1.65752,0.129862
1990,18,1.13159,0.145868
1991,18,1.02708,0.154919
1992,18,0.558306,0.193637
1993,18,0.81207,0.158143
1994,18,1.12053,0.150376
1995,18,1.11373,0.167688
1996,18,1.1907,0.151113
1997,18,1.31626,0.157444
1998,18,1.99334,0.137913
1999,18,1.18608,0.178693
2000,18,0.788006,0.193284
2001,18,0.727835,0.189465
2002,18,0.803887,0.170821
2003,18,1.3191,0.154258
2004,18,1.26325,0.158191
2005,18,1.04284,0.173712
2006,18,0.740614,0.183836
2007,18,0.829133,0.172829
2008,18,1.047,0.170683
2009,18,0.645173,0.189237
2010,18,0.790723,0.18556
2011,18,0.722675,0.189473
2012,18,0.69595,0.193779
2013,18,0.717588,0.198133
2014,18,0.790042,0.194125
2015,18,0.78514,0.195497
2016,18,0.687733,0.189938
2017,18,0.591417,0.176359
2018,18,0.724244,0.185999
2019,18,0.794833,0.171214
2020,18,0.742562,0.181624
2021,18,1.23811,0.166762
2022,18,0.912191,0.193082
1975,19,0.4301,0.50489
1976,19,0.5148,0.32902
1977,19,0.9168,0.12433
1978,19,1.3574,0.16181
1979,19,1.4161,0.12071
1980,19,1.8821,0.13257
1981,19,1.2545,0.14772
1982,19,1.6627,0.14975
1983,19,1.1889,0.14127
1984,19,0.8902,0.12232
1985,19,0.4545,0.15249
1986,19,0.5622,0.14575
1987,19,0.4426,0.16588
1988,19,0.8367,0.1086
1989,19,1.4189,0.08881
1990,19,1.189,0.09194
1991,19,0.7537,0.10824
1992,19,0.9569,0.09819
1993,19,1.0522,0.09805
1994,19,1.9806,0.08791
1995,19,2.0444,0.09182
1996,19,1.5787,0.09431
1997,19,1.3435,0.13605
1998,19,1.3285,0.13131
1999,19,1.903,0.09645
2000,19,1.0558,0.12752
2001,19,1.1965,0.13542
2002,19,1.0358,0.16291
2003,19,1.7398,0.12992
2004,19,1.4069,0.12767
2005,19,1.2841,0.12552
2006,19,1.4075,0.13673
2007,19,1.3203,0.1332
2008,19,0.6984,0.18359
2009,19,1.4097,0.1414
2010,19,0.8907,0.14749
2011,19,0.9899,0.13783
2012,19,0.9495,0.15499
2013,19,1.0867,0.14261
2014,19,0.8804,0.18225
2015,19,0.6692,0.19985
2016,19,1.0559,0.17088
2017,19,0.6247,0.20322
2018,19,0.6625,0.23346
2019,19,0.8061,0.21445
2020,19,0.4132,0.46924
2021,19,0.6347,0.40583
2022,19,0.6294,0.47167
1998,20,1.30883,0.0548596
1999,20,1.22757,0.0537723
2000,20,1.18529,0.0485691
2001,20,1.08783,0.0481963
2002,20,0.894598,0.0441074
2003,20,0.932047,0.0439604
2004,20,0.9239,0.045817
2005,20,0.90204,0.0448696
2006,20,0.939615,0.0448553
2007,20,0.973792,0.0506091
2008,20,1.04839,0.0526955
2009,20,0.910107,0.0487654
2010,20,0.873976,0.0501903
2011,20,1.13876,0.0543158
2012,20,0.873735,0.0495121
2013,20,0.858367,0.0505954
2014,20,0.981718,0.0516344
2015,20,1.13393,0.0601981
2016,20,0.9752,0.0542265
2017,20,1.05351,0.0521918
2018,20,0.990566,0.0543625
2019,20,0.894308,0.0468739
2020,20,0.804674,0.0493523
2021,20,0.878416,0.0554808
2022,20,1.20884,0.0668385
