year,month,fleet,sex,Lbin,age
2006,9,9,0,177,1
2006,11,9,0,141,1
2006,11,9,0,166,1
2006,11,9,0,209,3
2006,11,9,0,211,10
2006,12,9,0,137,1
2006,12,9,0,180,1
2006,12,9,0,172,2
2006,12,9,0,185,2
2006,12,9,0,196,2
2007,1,9,0,196,3
2007,1,9,0,189,5
2007,3,9,0,183,1
2007,3,9,0,196,2
2007,4,9,0,148,1
2007,4,9,0,189,2
2007,4,9,0,189,4
2007,4,9,0,195,4
2007,4,9,0,212,7
2007,5,9,0,193,2
2007,8,9,0,165,1
2007,11,9,0,124,1
2008,4,9,0,112,0
2007,1,10,0,200,3
2007,1,10,0,214,4
2007,2,10,0,191,1
2007,2,10,0,193,2
2007,2,10,0,193,2
2007,2,10,0,191,3
2007,2,10,0,201,3
2007,2,10,0,201,5
2007,2,10,0,201,5
2007,2,10,0,218,5
2007,2,10,0,196,6
2007,2,10,0,204,6
2007,2,10,0,207,6
2007,2,10,0,216,7
2007,2,10,0,196,8
2007,3,10,0,173,1
2007,3,10,0,196,2
2007,3,10,0,187,3
2007,3,10,0,187,3
2007,3,10,0,189,3
2007,3,10,0,196,3
2007,3,10,0,203,3
2007,3,10,0,192,4
2007,3,10,0,205,4
2007,3,10,0,202,5
2007,3,10,0,202,6
2007,3,10,0,206,6
2007,3,10,0,222,10
2007,4,10,0,193,3
2007,4,10,0,200,3
2007,4,10,0,201,3
2007,4,10,0,212,3
2007,4,10,0,204,4
2007,4,10,0,206,4
2007,4,10,0,213,4
2007,4,10,0,212,7
2007,4,10,0,215,7
2007,4,10,0,206,10
2007,4,12,0,92,0
2007,8,12,0,146,0
2007,8,12,0,168,0
2007,8,12,0,155,1
2007,8,12,0,162,1
2007,8,12,0,168,1
2007,9,12,0,161,1
2007,10,12,0,148,0
2007,10,12,0,160,2
2007,10,12,0,160,2
2007,11,12,0,162,1
2008,4,12,0,101,0
2008,4,12,0,102,0
2008,4,12,0,107,0
2008,4,12,0,109,0
2008,4,12,0,109,0
2008,4,12,0,110,0
2008,4,12,0,117,0
2008,4,12,0,118,0
2008,5,12,0,81,0
2008,5,12,0,93,0
2018,9,12,0,164,1
2018,9,12,0,207,3
2018,10,12,0,189,10
2018,11,12,0,194,3
2018,12,12,0,173,2
2018,12,12,0,192,2
2018,12,12,0,220,6
