Year,Rec,Catch,TB,SB,F,SB_SBmsy,SB_SBF0,F_Fmsy
1952,335.965,73.0599,31727.8,20504,0.0020624,7.93483098237263,1,0.00472063906246424
1953,195.621,1389.92,31201.5,19594,0.0589923,7.58267061395871,0.997444538337016,0.135027810203942
1954,164.827,7373.11,28601.6,17991.1,0.362064,6.96236527930961,0.93755406630744,0.828730344022523
1955,157.724,3157.61,20253.4,12229.2,0.210175,4.73257096418413,0.637674811500798,0.481070750074389
1956,152.356,2471.25,17059.8,10124.7,0.202086,3.91815173854995,0.554668668098348,0.462555792075809
1957,214.597,2178.41,15358.6,8449.45,0.203852,3.26984771966487,0.503897257904844,0.466597999496441
1958,284.022,3419.3,15249.4,7167.85,0.383116,2.77388208432499,0.467979185981223,0.876916386275722
1959,155.604,2509.54,14176.1,5444.9,0.277295,2.10711867030437,0.380970039602021,0.634702098926503
1960,265.634,2579.91,14529.5,5513.71,0.24872,2.13374741200828,0.385433968067556,0.569296619286319
1961,151.352,3889.08,14449.3,6007.41,0.451676,2.32480408660823,0.403422849890203,1.03384375929868
1962,129.427,3093.58,12428.2,5045.14,0.355563,1.95241578142838,0.335892570622033,0.813850168234567
1963,162.692,3192.48,11066.4,4885.78,0.462087,1.8907451481202,0.319400916537554,1.05767355627275
1964,134.724,1614.87,9584.33,3917.83,0.259381,1.51615874305838,0.265462614764373,0.593698642678935
1965,106.349,2103.85,9478.32,3920.24,0.324339,1.51709138755055,0.283176584463803,0.742381377463435
1966,79.6689,2428.21,8458.96,3786.13,0.426558,1.46519223699232,0.287594950170151,0.976351026574195
1967,70.5262,1466.24,6858.31,3160.11,0.301006,1.22292912288849,0.254046514619225,0.688974341367392
1968,125.774,1227.41,6445.17,2954.93,0.286335,1.14352663454654,0.258203282011849,0.655393806221246
1969,153.834,1230.7,6857.78,2632.5,0.308144,1.01874963719742,0.256922010872217,0.705312550069812
1970,164.798,2760.38,7811.75,2431.87,0.693909,0.941107950697548,0.261211929172552,1.58829224747648
1971,151.811,2671.63,7563.89,1873.85,0.694093,0.725160116870804,0.203371637696008,1.58871340612053
1972,56.9425,2317.04,6885.33,1804.43,0.550801,0.698295311623227,0.184028801191211,1.26073153425347
1973,234.849,2297.86,7069.15,2057.57,0.558808,0.796257812348832,0.193258944085961,1.27905880198677
1974,58.9226,1888.36,6943.19,1908.94,0.590838,0.738739575472611,0.172864257900933,1.35237245073131
1975,52.9058,1673.43,6477.46,1909.99,0.312184,0.739145914359242,0.173722315703306,0.714559728993568
1976,163.587,1679.22,6329.27,2685.26,0.415725,1.03916719877711,0.230162512428429,0.951555311405617
1977,113.892,976.932,6384.75,2267.73,0.270389,0.877587507981657,0.204964750542299,0.618894916340498
1978,213.643,2163.28,7807.96,2293.76,0.457326,0.887660842475958,0.225537354230989,1.04677607635789
1979,115.203,1915.87,8040.24,2316.04,0.422391,0.896282966660862,0.227878191567865,0.966813156629815
1980,193.178,1401.33,8674.68,2521.63,0.230199,0.9758441206633,0.238515162407068,0.526903797294513
1981,55.5852,2921.24,9041.11,3404.77,0.534654,1.31760995336778,0.296417502437665,1.22377257433221
1982,163.842,2849.49,7848.84,2949.39,0.553864,1.14138271318279,0.247454882581446,1.26774245233354
1983,82.3708,1604.91,6659.59,2379.78,0.421474,0.92094967202647,0.196310991957105,0.964714230126577
1984,94.3815,1818.22,6503.85,2231.91,0.396738,0.863725547106287,0.194698780466528,0.908095859369635
1985,31.8555,1813.92,5605.98,2313.06,0.49404,0.89512973820166,0.208057639376113,1.13081095928037
1986,78.701,1572.08,4561.65,1978.62,0.514636,0.765704997968305,0.188529776083849,1.17795326054613
1987,246.154,1418.81,5074.49,1539.04,0.698832,0.595592190553588,0.15978969357307,1.59956053011055
1988,81.9425,1772.45,6036.87,1015.28,0.682457,0.392902614113504,0.119667145989015,1.56207969969558
1989,83.1376,2565.7,6215.79,1316.75,0.621841,0.509568313306631,0.154128429628242,1.42333539334844
1990,100.876,1804.71,5313.38,1756.42,0.588809,0.679715949768774,0.171629306806856,1.34772826111836
1991,117.476,1437.93,5149.47,1553.94,0.501538,0.601358332849596,0.143631977372931,1.1479731740255
1992,145.504,1330.44,5711.99,1483.25,0.380452,0.574002051043904,0.139989995658493,0.87081874155966
1993,160.433,1649.98,6717.24,1751.98,0.425493,0.677997716762446,0.168906242468065,0.973913342031175
1994,126.822,2757.97,7376.48,1988.89,0.678512,0.769679379268977,0.188081818697634,1.55304996681087
1995,95.0317,2220.74,6626.73,1839.21,0.534572,0.711754803506124,0.163475161545504,1.22358488406693
1996,272.317,2031.52,7282.31,1960.38,0.515159,0.758646311023394,0.164576005104225,1.17915035821374
1997,168.829,2125.98,8521.65,1900.43,0.522043,0.735446295543817,0.158853670361269,1.19490718487491
1998,231.036,3202.04,9924.53,2190.98,0.542589,0.847886070315977,0.180154090299876,1.24193504085697
1999,197.522,3016.08,10280.8,2695.38,0.515472,1.04308353166541,0.197272966801335,1.17986678568976
2000,64.639,2541.86,9666.6,2947.74,0.389427,1.14074418064666,0.198745929327049,0.89136166998558
2001,260.747,2351.41,9688.62,3510.75,0.367882,1.35862309165844,0.221715242034797,0.842047197235002
2002,130.4,2376.05,9796.68,3521.22,0.434221,1.36267487084228,0.222476212138443,0.993890910755568
2003,118.578,3157.21,9450.92,3185.55,0.50582,1.23277413362745,0.213859890570978,1.15777426812241
2004,116.704,2678.78,8025.61,3071.95,0.537818,1.18881213598808,0.206728892717264,1.23101467188537
2005,97.0597,2030.49,6812.47,2585.17,0.475309,1.00043342814574,0.181227216645169,1.08793746709698
2006,196.079,1749.32,6829.37,2258.28,0.430847,0.873930458001974,0.17010756575974,0.986168143010826
2007,99.0098,1633.55,7160.47,2110.86,0.386854,0.816880478318918,0.172035631912241,0.88547231568587
2008,99.479,1980.8,7252.25,2307.29,0.387679,0.892896809272266,0.197302081373672,0.887360662867083
2009,100.273,1855.77,6712.99,2625.78,0.413186,1.01614906832298,0.220285405078902,0.94574377989883
2010,102.811,1820.83,6187.39,2438.51,0.464774,0.943677560418723,0.210203694604636,1.06382384581931
2011,71.7786,2029.76,5548.48,2062.2,0.603891,0.798049573344169,0.188148350896401,1.3822495364966
2012,84.098,1926.85,4686.06,1618.04,0.705953,0.626164354404907,0.156595629367245,1.61585982741651
2013,120.064,1318.54,4251.91,1214.59,0.56851,0.47003347458447,0.124520204712656,1.30126576483783
2014,87.1532,1828.77,4527.91,1096.8,0.759832,0.424449991292738,0.120358045432748,1.73918377623658
2015,93.4101,1662.51,4278.61,994.749,0.690993,0.384957334416904,0.111777086095692,1.58161779853052
2016,79.2436,1255.16,4069.25,1018.07,0.528296,0.393982314583696,0.109918549261286,1.20921971205567
2017,84.2975,1230.25,4181.98,1134.31,0.48834,0.438965964280877,0.119070162915687,1.11776419693744
2018,52.7728,1506.8,4056.2,1253.9,0.609017,0.48524602852112,0.129409591315862,1.39398246698254
2019,109.625,1395.72,3817.43,1147.61,0.677391,0.444112923511542,0.119002733430393,1.55048410355009
2020,180.982,1332.68,4501.6,937.397,0.704684,0.362762717439678,0.10007740169451,1.61295520611596
2021,148.709,1466.29,5756.29,872.264,0.510059,0.337556935817805,0.0972981173158309,1.16747693927533
2022,103.196,1385.93,6626.99,1361.84,0.321026,0.527017666066833,0.141307821611638,0.734798232964819
2023,141.673,0,7317.67,2275.86,0.350848,0.880733731932432,0.110995903238393,0.803057977980727
