id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
01-Diagnostic_1F,1,0,0.707867,94.5558,9.9314,6.83101,2.54208e-07,0,
01-Diagnostic_1F,1,1,0.4718,138.118,10.3345,25.922,0.00153257,0.0642949,
01-Diagnostic_1F,1,2,0.4007,166.2,10.5943,49.97,0.138836,8.95814,
01-Diagnostic_1F,1,3,0.3766,184.303,10.7619,72.1659,0.588475,46.9255,
01-Diagnostic_1F,1,4,0.3669,195.974,10.8699,89.7904,0.85369,79.5726,
01-Diagnostic_1F,1,5,0.3629,203.497,10.9395,102.681,0.941603,98.2509,
01-Diagnostic_1F,1,6,0.3612,208.347,10.9843,111.668,0.970641,109.313,
01-Diagnostic_1F,1,7,0.3605,211.473,11.0133,117.754,0.981806,116.239,
01-Diagnostic_1F,1,8,0.3602,213.489,11.0319,121.803,0.98681,120.676,
01-Diagnostic_1F,1,9,0.36,214.788,11.0439,124.465,0.989334,123.539,
01-Diagnostic_1F,1,10,0.36,216.103,11.0517,127.202,0.991441,126.446,
01-Diagnostic_1F,1,0.25,0.64885,107.299,10.0493,10.6389,3.29521e-06,0,
01-Diagnostic_1F,1,1.25,0.454025,146.333,10.4105,31.8079,0.00709485,0.0642949,
01-Diagnostic_1F,1,2.25,0.394675,171.496,10.6434,55.8612,0.240837,8.95814,
01-Diagnostic_1F,1,3.25,0.374175,187.717,10.7935,77.0359,0.680351,46.9255,
01-Diagnostic_1F,1,4.25,0.3659,198.174,10.8902,93.4326,0.885931,79.5726,
01-Diagnostic_1F,1,5.25,0.362475,204.916,10.9526,105.254,0.951895,98.2509,
01-Diagnostic_1F,1,6.25,0.361025,209.261,10.9928,113.424,0.974408,109.313,
01-Diagnostic_1F,1,7.25,0.360425,212.063,11.0187,118.928,0.983423,116.239,
01-Diagnostic_1F,1,8.25,0.36015,213.869,11.0354,122.577,0.9876,120.676,
01-Diagnostic_1F,1,9.25,0.36,215.033,11.0462,124.972,0.989757,123.539,
01-Diagnostic_1F,1,10.25,0.36,216.212,11.0517,127.429,0.991597,126.446,
01-Diagnostic_1F,1,0.5,0.589834,118.718,10.155,15.1867,3.26957e-05,0,
01-Diagnostic_1F,1,1.5,0.43625,153.694,10.4786,37.8537,0.0247726,0.0642949,
01-Diagnostic_1F,1,2.5,0.38865,176.241,10.6873,61.5525,0.359559,8.95814,
01-Diagnostic_1F,1,3.5,0.37175,190.776,10.8218,81.5975,0.753848,46.9255,
01-Diagnostic_1F,1,4.5,0.3649,200.146,10.9085,96.7859,0.910013,79.5726,
01-Diagnostic_1F,1,5.5,0.36205,206.187,10.9644,107.598,0.959777,98.2509,
01-Diagnostic_1F,1,6.5,0.36085,210.081,11.0004,115.015,0.977413,109.313,
01-Diagnostic_1F,1,7.5,0.36035,212.591,11.0236,119.988,0.984761,116.239,
01-Diagnostic_1F,1,8.5,0.3601,214.209,11.0386,123.274,0.98827,120.676,
01-Diagnostic_1F,1,9.5,0.36,215.252,11.0482,125.427,0.990122,123.539,
01-Diagnostic_1F,1,10.5,0.36,216.309,11.0517,127.633,0.991735,126.446,
01-Diagnostic_1F,1,0.75,0.530817,128.95,10.2497,20.3319,0.00025334,0,
01-Diagnostic_1F,1,1.75,0.418475,160.29,10.5397,43.9408,0.0660003,0.0642949,
01-Diagnostic_1F,1,2.75,0.382625,180.493,10.7266,66.9981,0.479469,8.95814,
01-Diagnostic_1F,1,3.75,0.369325,193.517,10.8471,85.848,0.810665,46.9255,
01-Diagnostic_1F,1,4.75,0.3639,201.913,10.9248,99.8636,0.928037,79.5726,
01-Diagnostic_1F,1,5.75,0.361625,207.326,10.9749,109.731,0.965874,98.2509,
01-Diagnostic_1F,1,6.75,0.360675,210.815,11.0072,116.454,0.979836,109.313,
01-Diagnostic_1F,1,7.75,0.360275,213.064,11.028,120.942,0.985875,116.239,
01-Diagnostic_1F,1,8.75,0.36005,214.514,11.0414,123.901,0.988843,120.676,
01-Diagnostic_1F,1,9.75,0.36,215.449,11.0501,125.836,0.99044,123.539,
01-Diagnostic_1F,1,10.75,0.36,216.396,11.0517,127.816,0.991857,126.446,
