id,Yr,Era,SSB,SSB_nofishing
01-Diagnostic_1F,1950,VIRG,12285.6,12285.6
01-Diagnostic_1F,1951,INIT,12285.6,12285.6
01-Diagnostic_1F,1952,TIME,20504,20504
01-Diagnostic_1F,1953,TIME,19594,19644.2
01-Diagnostic_1F,1954,TIME,17991.1,19189.4
01-Diagnostic_1F,1955,TIME,12229.2,19177.8
01-Diagnostic_1F,1956,TIME,10124.7,18253.6
01-Diagnostic_1F,1957,TIME,8449.45,16768.2
01-Diagnostic_1F,1958,TIME,7167.85,15316.6
01-Diagnostic_1F,1959,TIME,5444.9,14292.2
01-Diagnostic_1F,1960,TIME,5513.71,14305.2
01-Diagnostic_1F,1961,TIME,6007.41,14891.1
01-Diagnostic_1F,1962,TIME,5045.14,15020.1
01-Diagnostic_1F,1963,TIME,4885.78,15296.7
01-Diagnostic_1F,1964,TIME,3917.83,14758.5
01-Diagnostic_1F,1965,TIME,3920.24,13843.8
01-Diagnostic_1F,1966,TIME,3786.13,13164.8
01-Diagnostic_1F,1967,TIME,3160.11,12439.1
01-Diagnostic_1F,1968,TIME,2954.93,11444.2
01-Diagnostic_1F,1969,TIME,2632.5,10246.3
01-Diagnostic_1F,1970,TIME,2431.87,9309.95
01-Diagnostic_1F,1971,TIME,1873.85,9213.92
01-Diagnostic_1F,1972,TIME,1804.43,9805.15
01-Diagnostic_1F,1973,TIME,2057.57,10646.7
01-Diagnostic_1F,1974,TIME,1908.94,11043
01-Diagnostic_1F,1975,TIME,1909.99,10994.5
01-Diagnostic_1F,1976,TIME,2685.26,11666.8
01-Diagnostic_1F,1977,TIME,2267.73,11064
01-Diagnostic_1F,1978,TIME,2293.76,10170.2
01-Diagnostic_1F,1979,TIME,2316.04,10163.5
01-Diagnostic_1F,1980,TIME,2521.63,10572.2
01-Diagnostic_1F,1981,TIME,3404.77,11486.4
01-Diagnostic_1F,1982,TIME,2949.39,11918.9
01-Diagnostic_1F,1983,TIME,2379.78,12122.5
01-Diagnostic_1F,1984,TIME,2231.91,11463.4
01-Diagnostic_1F,1985,TIME,2313.06,11117.4
01-Diagnostic_1F,1986,TIME,1978.62,10495
01-Diagnostic_1F,1987,TIME,1539.04,9631.66
01-Diagnostic_1F,1988,TIME,1015.28,8484.2
01-Diagnostic_1F,1989,TIME,1316.75,8543.2
01-Diagnostic_1F,1990,TIME,1756.42,10233.8
01-Diagnostic_1F,1991,TIME,1553.94,10818.9
01-Diagnostic_1F,1992,TIME,1483.25,10595.4
01-Diagnostic_1F,1993,TIME,1751.98,10372.5
01-Diagnostic_1F,1994,TIME,1988.89,10574.6
01-Diagnostic_1F,1995,TIME,1839.21,11250.7
01-Diagnostic_1F,1996,TIME,1960.38,11911.7
01-Diagnostic_1F,1997,TIME,1900.43,11963.4
01-Diagnostic_1F,1998,TIME,2190.98,12161.7
01-Diagnostic_1F,1999,TIME,2695.38,13663.2
01-Diagnostic_1F,2000,TIME,2947.74,14831.7
01-Diagnostic_1F,2001,TIME,3510.75,15834.5
01-Diagnostic_1F,2002,TIME,3521.22,15827.4
01-Diagnostic_1F,2003,TIME,3185.55,14895.5
01-Diagnostic_1F,2004,TIME,3071.95,14859.8
01-Diagnostic_1F,2005,TIME,2585.17,14264.8
01-Diagnostic_1F,2006,TIME,2258.28,13275.6
01-Diagnostic_1F,2007,TIME,2110.86,12269.9
01-Diagnostic_1F,2008,TIME,2307.29,11694.2
01-Diagnostic_1F,2009,TIME,2625.78,11919.9
01-Diagnostic_1F,2010,TIME,2438.51,11600.7
01-Diagnostic_1F,2011,TIME,2062.2,10960.5
01-Diagnostic_1F,2012,TIME,1618.04,10332.6
01-Diagnostic_1F,2013,TIME,1214.59,9754.16
01-Diagnostic_1F,2014,TIME,1096.8,9112.81
01-Diagnostic_1F,2015,TIME,994.749,8899.4
01-Diagnostic_1F,2016,TIME,1018.07,9262.04
01-Diagnostic_1F,2017,TIME,1134.31,9526.4
01-Diagnostic_1F,2018,TIME,1253.9,9689.39
01-Diagnostic_1F,2019,TIME,1147.61,9643.56
01-Diagnostic_1F,2020,TIME,937.397,9366.72
01-Diagnostic_1F,2021,TIME,872.264,8964.86
01-Diagnostic_1F,2022,TIME,1361.84,9637.4
01-Diagnostic_1F,2023,FORE,2275.86,11539.3
