id,type,yr,Value,StdDev
01-Diagnostic_1F,f,1952,0.00472064,0.000834677
01-Diagnostic_1F,f,1953,0.135028,0.0356392
01-Diagnostic_1F,f,1954,0.828731,0.182824
01-Diagnostic_1F,f,1955,0.48107,0.0980119
01-Diagnostic_1F,f,1956,0.462556,0.0976688
01-Diagnostic_1F,f,1957,0.466599,0.107327
01-Diagnostic_1F,f,1958,0.876916,0.193501
01-Diagnostic_1F,f,1959,0.634703,0.161055
01-Diagnostic_1F,f,1960,0.569296,0.136391
01-Diagnostic_1F,f,1961,1.03384,0.236599
01-Diagnostic_1F,f,1962,0.813851,0.178127
01-Diagnostic_1F,f,1963,1.05767,0.231723
01-Diagnostic_1F,f,1964,0.593698,0.137226
01-Diagnostic_1F,f,1965,0.742382,0.154642
01-Diagnostic_1F,f,1966,0.976351,0.196877
01-Diagnostic_1F,f,1967,0.688974,0.107014
01-Diagnostic_1F,f,1968,0.655393,0.088551
01-Diagnostic_1F,f,1969,0.705313,0.0938594
01-Diagnostic_1F,f,1970,1.58829,0.17581
01-Diagnostic_1F,f,1971,1.58871,0.172515
01-Diagnostic_1F,f,1972,1.26073,0.163258
01-Diagnostic_1F,f,1973,1.27906,0.180835
01-Diagnostic_1F,f,1974,1.35237,0.202822
01-Diagnostic_1F,f,1975,0.714559,0.0903314
01-Diagnostic_1F,f,1976,0.951555,0.11677
01-Diagnostic_1F,f,1977,0.618894,0.0849274
01-Diagnostic_1F,f,1978,1.04678,0.11222
01-Diagnostic_1F,f,1979,0.966814,0.115206
01-Diagnostic_1F,f,1980,0.526905,0.0462679
01-Diagnostic_1F,f,1981,1.22377,0.104006
01-Diagnostic_1F,f,1982,1.26774,0.118038
01-Diagnostic_1F,f,1983,0.964715,0.0983319
01-Diagnostic_1F,f,1984,0.908096,0.0893066
01-Diagnostic_1F,f,1985,1.13081,0.111238
01-Diagnostic_1F,f,1986,1.17795,0.121283
01-Diagnostic_1F,f,1987,1.59956,0.243837
01-Diagnostic_1F,f,1988,1.56208,0.278781
01-Diagnostic_1F,f,1989,1.42334,0.265814
01-Diagnostic_1F,f,1990,1.34773,0.215931
01-Diagnostic_1F,f,1991,1.14797,0.2127
01-Diagnostic_1F,f,1992,0.870818,0.149909
01-Diagnostic_1F,f,1993,0.973913,0.195907
01-Diagnostic_1F,f,1994,1.55305,0.280825
01-Diagnostic_1F,f,1995,1.22359,0.208802
01-Diagnostic_1F,f,1996,1.17915,0.198679
01-Diagnostic_1F,f,1997,1.19491,0.187139
01-Diagnostic_1F,f,1998,1.24194,0.164514
01-Diagnostic_1F,f,1999,1.17987,0.146485
01-Diagnostic_1F,f,2000,0.891362,0.109231
01-Diagnostic_1F,f,2001,0.842046,0.0940739
01-Diagnostic_1F,f,2002,0.993891,0.103177
01-Diagnostic_1F,f,2003,1.15777,0.115748
01-Diagnostic_1F,f,2004,1.23101,0.122145
01-Diagnostic_1F,f,2005,1.08794,0.125688
01-Diagnostic_1F,f,2006,0.986169,0.127592
01-Diagnostic_1F,f,2007,0.885474,0.110551
01-Diagnostic_1F,f,2008,0.887361,0.107032
01-Diagnostic_1F,f,2009,0.945743,0.0939646
01-Diagnostic_1F,f,2010,1.06382,0.104726
01-Diagnostic_1F,f,2011,1.38225,0.14318
01-Diagnostic_1F,f,2012,1.61586,0.178176
01-Diagnostic_1F,f,2013,1.30127,0.154568
01-Diagnostic_1F,f,2014,1.73918,0.197315
01-Diagnostic_1F,f,2015,1.58162,0.197099
01-Diagnostic_1F,f,2016,1.20922,0.15783
01-Diagnostic_1F,f,2017,1.11776,0.145688
01-Diagnostic_1F,f,2018,1.39398,0.162614
01-Diagnostic_1F,f,2019,1.55048,0.214972
01-Diagnostic_1F,f,2020,1.61296,0.292194
01-Diagnostic_1F,f,2021,1.16748,0.242483
01-Diagnostic_1F,f,2022,0.734798,0.172186
