id,Year,B.Bmsy,F.Fmsy
01-Diagnostic_1F,1952,7.93483,0.00472064
01-Diagnostic_1F,1953,7.58267,0.135028
01-Diagnostic_1F,1954,6.96237,0.828731
01-Diagnostic_1F,1955,4.73259,0.48107
01-Diagnostic_1F,1956,3.91814,0.462556
01-Diagnostic_1F,1957,3.26985,0.466599
01-Diagnostic_1F,1958,2.77389,0.876916
01-Diagnostic_1F,1959,2.10712,0.634703
01-Diagnostic_1F,1960,2.13375,0.569296
01-Diagnostic_1F,1961,2.32481,1.03384
01-Diagnostic_1F,1962,1.95242,0.813851
01-Diagnostic_1F,1963,1.89075,1.05767
01-Diagnostic_1F,1964,1.51616,0.593698
01-Diagnostic_1F,1965,1.51709,0.742382
01-Diagnostic_1F,1966,1.46519,0.976351
01-Diagnostic_1F,1967,1.22293,0.688974
01-Diagnostic_1F,1968,1.14353,0.655393
01-Diagnostic_1F,1969,1.01875,0.705313
01-Diagnostic_1F,1970,0.941109,1.58829
01-Diagnostic_1F,1971,0.725162,1.58871
01-Diagnostic_1F,1972,0.698295,1.26073
01-Diagnostic_1F,1973,0.796258,1.27906
01-Diagnostic_1F,1974,0.738739,1.35237
01-Diagnostic_1F,1975,0.739146,0.714559
01-Diagnostic_1F,1976,1.03917,0.951555
01-Diagnostic_1F,1977,0.877588,0.618894
01-Diagnostic_1F,1978,0.887661,1.04678
01-Diagnostic_1F,1979,0.896284,0.966814
01-Diagnostic_1F,1980,0.975844,0.526905
01-Diagnostic_1F,1981,1.31761,1.22377
01-Diagnostic_1F,1982,1.14138,1.26774
01-Diagnostic_1F,1983,0.92095,0.964715
01-Diagnostic_1F,1984,0.863726,0.908096
01-Diagnostic_1F,1985,0.895131,1.13081
01-Diagnostic_1F,1986,0.765708,1.17795
01-Diagnostic_1F,1987,0.595593,1.59956
01-Diagnostic_1F,1988,0.392903,1.56208
01-Diagnostic_1F,1989,0.50957,1.42334
01-Diagnostic_1F,1990,0.679717,1.34773
01-Diagnostic_1F,1991,0.60136,1.14797
01-Diagnostic_1F,1992,0.574004,0.870818
01-Diagnostic_1F,1993,0.677998,0.973913
01-Diagnostic_1F,1994,0.76968,1.55305
01-Diagnostic_1F,1995,0.711758,1.22359
01-Diagnostic_1F,1996,0.758649,1.17915
01-Diagnostic_1F,1997,0.735449,1.19491
01-Diagnostic_1F,1998,0.847887,1.24194
01-Diagnostic_1F,1999,1.04309,1.17987
01-Diagnostic_1F,2000,1.14075,0.891362
01-Diagnostic_1F,2001,1.35863,0.842046
01-Diagnostic_1F,2002,1.36268,0.993891
01-Diagnostic_1F,2003,1.23278,1.15777
01-Diagnostic_1F,2004,1.18881,1.23101
01-Diagnostic_1F,2005,1.00043,1.08794
01-Diagnostic_1F,2006,0.873931,0.986169
01-Diagnostic_1F,2007,0.816883,0.885474
01-Diagnostic_1F,2008,0.892898,0.887361
01-Diagnostic_1F,2009,1.01615,0.945743
01-Diagnostic_1F,2010,0.94368,1.06382
01-Diagnostic_1F,2011,0.798052,1.38225
01-Diagnostic_1F,2012,0.626165,1.61586
01-Diagnostic_1F,2013,0.470036,1.30127
01-Diagnostic_1F,2014,0.424452,1.73918
01-Diagnostic_1F,2015,0.384958,1.58162
01-Diagnostic_1F,2016,0.393983,1.20922
01-Diagnostic_1F,2017,0.438966,1.11776
01-Diagnostic_1F,2018,0.485245,1.39398
01-Diagnostic_1F,2019,0.444112,1.55048
01-Diagnostic_1F,2020,0.362763,1.61296
01-Diagnostic_1F,2021,0.337557,1.16748
01-Diagnostic_1F,2022,0.52702,0.734798
01-Diagnostic_1F,2023,0.880735,0.803058
