id,Yr,SpawnBio,bias_adjusted,pred_recr
01-Diagnostic_1F,1942,12285.6,180.616,164.714
01-Diagnostic_1F,1943,12285.6,180.616,175.069
01-Diagnostic_1F,1944,12285.6,180.616,177.485
01-Diagnostic_1F,1945,12285.6,180.616,188.978
01-Diagnostic_1F,1946,12285.6,180.616,221.109
01-Diagnostic_1F,1947,12285.6,180.616,324.368
01-Diagnostic_1F,1948,12285.6,179.349,657.761
01-Diagnostic_1F,1949,12285.6,178.092,203.572
01-Diagnostic_1F,1950,12285.6,176.844,197.884
01-Diagnostic_1F,1951,12285.6,175.604,259.89
01-Diagnostic_1F,1952,20504,178.853,335.965
01-Diagnostic_1F,1953,19594,177.283,195.621
01-Diagnostic_1F,1954,17991.1,175.413,164.827
01-Diagnostic_1F,1955,12229.2,170.682,157.724
01-Diagnostic_1F,1956,10124.7,167.303,152.356
01-Diagnostic_1F,1957,8449.45,163.701,214.597
01-Diagnostic_1F,1958,7167.85,160.025,284.022
01-Diagnostic_1F,1959,5444.9,153.909,155.604
01-Diagnostic_1F,1960,5513.71,153.08,265.634
01-Diagnostic_1F,1961,6007.41,153.64,151.352
01-Diagnostic_1F,1962,5045.14,149.15,129.427
01-Diagnostic_1F,1963,4885.78,147.432,162.692
01-Diagnostic_1F,1964,3917.83,141.384,134.724
01-Diagnostic_1F,1965,3920.24,140.408,106.349
01-Diagnostic_1F,1966,3786.13,138.575,79.6689
01-Diagnostic_1F,1967,3160.11,132.921,70.5262
01-Diagnostic_1F,1968,2954.93,130.129,125.774
01-Diagnostic_1F,1969,2632.5,126.226,153.834
01-Diagnostic_1F,1970,2431.87,123.803,164.798
01-Diagnostic_1F,1971,1873.85,115.163,151.811
01-Diagnostic_1F,1972,1804.43,113.831,56.9425
01-Diagnostic_1F,1973,2057.57,118.378,234.849
01-Diagnostic_1F,1974,1908.94,115.811,58.9226
01-Diagnostic_1F,1975,1909.99,115.83,52.9058
01-Diagnostic_1F,1976,2685.26,126.818,163.587
01-Diagnostic_1F,1977,2267.73,121.586,113.892
01-Diagnostic_1F,1978,2293.76,121.953,213.643
01-Diagnostic_1F,1979,2316.04,122.262,115.203
01-Diagnostic_1F,1980,2521.63,124.923,193.178
01-Diagnostic_1F,1981,3404.77,133.406,55.5852
01-Diagnostic_1F,1982,2949.39,129.528,163.842
01-Diagnostic_1F,1983,2379.78,123.124,82.3708
01-Diagnostic_1F,1984,2231.91,121.07,94.3815
01-Diagnostic_1F,1985,2313.06,122.221,31.8555
01-Diagnostic_1F,1986,1978.62,117.048,78.701
01-Diagnostic_1F,1987,1539.04,108.017,246.154
01-Diagnostic_1F,1988,1015.28,91.6052,81.9425
01-Diagnostic_1F,1989,1316.75,102.035,83.1376
01-Diagnostic_1F,1990,1756.42,112.868,100.876
01-Diagnostic_1F,1991,1553.94,108.378,117.476
01-Diagnostic_1F,1992,1483.25,106.624,145.504
01-Diagnostic_1F,1993,1751.98,112.777,160.433
01-Diagnostic_1F,1994,1988.89,117.225,126.822
01-Diagnostic_1F,1995,1839.21,114.507,95.0317
01-Diagnostic_1F,1996,1960.38,116.73,272.317
01-Diagnostic_1F,1997,1900.43,115.655,168.829
01-Diagnostic_1F,1998,2190.98,120.466,231.036
01-Diagnostic_1F,1999,2695.38,126.929,197.522
01-Diagnostic_1F,2000,2947.74,129.513,64.639
01-Diagnostic_1F,2001,3510.75,134.192,260.747
01-Diagnostic_1F,2002,3521.22,134.267,130.4
01-Diagnostic_1F,2003,3185.55,131.65,118.578
01-Diagnostic_1F,2004,3071.95,130.661,116.704
01-Diagnostic_1F,2005,2585.17,125.68,97.0597
01-Diagnostic_1F,2006,2258.28,121.451,196.079
01-Diagnostic_1F,2007,2110.86,119.235,99.0098
01-Diagnostic_1F,2008,2307.29,122.141,99.479
01-Diagnostic_1F,2009,2625.78,126.15,100.273
01-Diagnostic_1F,2010,2438.51,123.888,102.811
01-Diagnostic_1F,2011,2062.2,118.453,71.7786
01-Diagnostic_1F,2012,1618.04,109.88,84.098
01-Diagnostic_1F,2013,1214.59,98.8469,120.064
01-Diagnostic_1F,2014,1096.8,94.7493,87.1532
01-Diagnostic_1F,2015,994.749,90.7688,93.4101
01-Diagnostic_1F,2016,1018.07,91.7174,79.2436
01-Diagnostic_1F,2017,1134.31,96.1076,84.2975
01-Diagnostic_1F,2018,1253.9,100.11,52.7728
01-Diagnostic_1F,2019,1147.61,96.5768,109.625
01-Diagnostic_1F,2020,937.397,88.3289,180.982
01-Diagnostic_1F,2021,872.264,87.1043,148.709
01-Diagnostic_1F,2022,1361.84,116.706,103.196
01-Diagnostic_1F,2023,2275.86,141.673,141.673
